弯针测试,弯针测试
time,force
0.6,1.86958e+07
0.62,1.96505e+07
0.64,2.01978e+07
0.66,8.08464e+06
0.68,9.59604e+06
0.02,1.96505e+07
0.04,1.70087e+07
0.06,8.07412e+06
0.08,1.66443e+07
0.1,1.86958e+07
0.12,1.86958e+07
0.14,1.96505e+07
0.16,1.66759e+07
0.18,8.0846e+06
0.2,1.66443e+07
0.22,1.86958e+07
0.24,1.86958e+07
0.26,1.96505e+07
0.28,1.70087e+07
0.3,8.07412e+06
0.32,1.66443e+07
0.34,1.86958e+07
0.36,1.86958e+07
0.38,1.96505e+07
0.4,1.70087e+07
0.42,8.07412e+06
0.44,1.66443e+07
0.46,1.86958e+07
0.48,1.86958e+07
0.5,1.96505e+07
0.52,2.01978e+07
0.54,8.08464e+06
0.56,8.45362e+06
0.58,1.86958e+07
0.02,1.96505e+07
0.04,8.42085e+06
0.06,5.38985e+06
0.08,8.93006e+06
0.1,1.86958e+07
0.12,1.86958e+07
0.14,1.96505e+07
0.16,8.42085e+06
0.18,5.41143e+06
0.2,9.76255e+06
0.22,1.86958e+07
0.24,1.86958e+07
0.26,1.96505e+07
0.28,8.42085e+06
0.3,5.38985e+06
0.32,9.76255e+06
0.34,1.86958e+07
0.36,1.86958e+07
0.38,1.96505e+07
0.4,8.42085e+06
0.42,5.41143e+06
0.44,9.76255e+06
0.46,1.86958e+07
0.48,1.86958e+07
0.5,1.96505e+07
0.52,8.42085e+06
0.54,5.41143e+06
0.56,9.76255e+06
0.58,1.86958e+07
0.6,1.86958e+07
0.62,1.96505e+07
0.64,8.59255e+06
0.66,1.09374e+07
0.68,2.01663e+07
0.7,1.86958e+07
0.72,1.86958e+07
0.74,1.96505e+07
0.76,8.42085e+06
0.78,5.41143e+06
0.8,9.76255e+06
0.82,1.86958e+07
0.84,1.86958e+07
0.86,1.96505e+07
0.88,8.42085e+06
0.9,5.38985e+06
0.92,8.93006e+06
0.94,1.86958e+07
0.96,1.86958e+07
0.98,1.96505e+07
1,8.2544e+06
1.02,1.09374e+07
1.04,8.13184e+06
1.06,1.86958e+07
1.08,1.86958e+07
1.1,1.96505e+07
1.12,8.2544e+06
1.14,1.09374e+07
1.16,8.13184e+06
1.18,1.86958e+07
1.2,1.86958e+07
1.22,1.96505e+07
1.24,1.69779e+07
1.26,5.38985e+06
1.28,8.93006e+06
1.3,1.86958e+07
1.32,1.86958e+07
1.34,1.96505e+07
1.36,1.69779e+07
1.38,8.07412e+06
1.4,8.93006e+06
1.42,1.86958e+07
